,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,label
19 liver,978.7528785368585,237.60741913371223,-6.347500136077992,4.880336508140359,1.3132244061428642,0.5735911210465255,0.7915964542275998,1.5733146663596285,0.678159570336412,0.6704262128555457,0.6511247786789085,0.9992934344935354,0.9822640061191651,-0.13315882703686036,0.6544014327092291,0.49463016982536046,31.270769279688384,0.09376292480579339,4.16208252202149,0.6883766272912694,0.19509753791601156,62.54153855937677,3.019618103767176,1.548390228570806,293418.9762316499,0.23368623983818665,2.2563097931714355,973.8196714514868,3.9687608801397625,3888.1875046155737,0.004072633265329207,0.0010381331793200472,3.984468335905488,588984.7143602674,0.46607571552575927,0.614610401799191,1.2813414504118243,0.7060009253840676,685.1762959790619,0.0007372902610793507,1
19 other organ,638.5482045005958,188390746.67354584,110323.64369473973,1528.7610242943592,27.571575693096463,0.9645171748309789,1.1493478418001861,1.8772007126873664,26.179782743891117,0.7635218936311813,0.7432481048153806,0.9999953115196892,0.9994406255593571,-0.5440449801838364,0.9912590792171139,0.23166895544544241,16.22499789025376,0.16926746227602066,5.480087920570293,0.990123647337685,0.40264858365382616,32.449995780507564,4.4069499672907035,389.08314999686377,324476.46539892576,0.03880162862089269,394.28229199006114,1197.5487629718273,93.15229016611669,3945.167715104832,88.68649622376378,0.08377906756588348,6.67385870617947,4351149.906411358,0.5179699711317253,0.38752280380128573,86.35614745062011,0.7465159788966164,952.5485384186858,0.03546086849739262,0
2 liver,151.63679118101368,139.90134501033367,-1.5273854526939439,4.893954690515219,2.5064952907569693,0.3212153851448966,1.1849107577863192,1.9596941623637023,1.0870822539482818,0.573341351492292,0.5307067085384518,0.9938740376676669,0.946284203321164,-0.04311177128747333,0.4037657578080652,0.4804064841149585,12.28982213610136,0.055157940729423816,4.8037536237102785,0.4325836382422454,0.11526487314398187,24.579644272202717,3.128565054646873,1.850112495318047,171581.32919147823,0.20121840338979727,2.2939571528417444,151.84809090487863,2.4097602087683194,366.083734509246,0.01664420943570469,0.007101168860045762,3.6933161526329576,510989.99895217404,0.5974760664666752,0.7368579611268442,0.557080449540303,0.8006801653359887,121.47507098791544,0.005747589530915264,1
2 other organ,672.449491325442,2807603.1720947344,22256.817272098906,1410.2930244538277,11.17404951974457,0.9842795839656269,1.326433352709422,2.0971592445716034,9.34369420165576,0.7195220330920269,0.6923178150884894,0.998871239912543,0.9874749091173732,-0.5061954081122402,0.9897068500852421,0.25448116720767483,17.96299943253316,0.14857226282736102,5.788970459485459,0.9895929989504875,0.37902914895923556,35.92599886506641,4.513433311718693,355.3667684933935,389846.2473186067,0.04295430498316096,276.17565302551225,1154.6868936838023,83.58251841313808,2616.9330144008304,80.8159185132673,0.060470034860075995,6.241865438023273,5304205.356504004,0.5825853496075284,0.45207781747209513,78.64372011029027,0.7904504180641754,962.973972259757,0.027421846349190402,0
21 liver,191.53356627886083,161.19476814880343,-10.598134909997334,3.8613818880779816,1.5063548093111594,0.4377550633123895,0.8975637239042447,1.6655301572317687,0.6881405073023104,0.6367920538501377,0.610370044323002,0.9958891969572247,0.9565241454058492,-0.07211409695203007,0.4906858977530949,0.5029141378842331,13.818275979899479,0.08365088116147898,4.1922749024800074,0.6986536436030326,0.17707987993807606,27.636551959798947,2.8856548939860125,1.3419341743472848,531951.6190130321,0.23774873929096166,1.7677761416386994,190.81350301022127,3.2614347212440316,626.8416409065679,0.01743841130245634,0.005494252264065733,3.7172070501313113,1145076.7782015959,0.5086114848354352,0.659698117467214,0.9328881420821096,0.7380462470103454,140.38039301924096,0.004099991081466811,1
21 other organ,763.7331712396814,3027355.3969190274,18499.250559824603,1494.6483952550238,7.539032995630492,0.9899632203665363,1.1277589622431918,1.9300641124285607,6.2144552060239056,0.7057864360048887,0.6853507666830883,0.9991503765733316,0.9886388129376557,-0.5262236136495376,0.9942286549637842,0.3612644996127147,19.797864844167687,0.04832667573048739,6.327491264832004,0.9937544730899674,0.1562901089425891,39.595729688335354,5.140395953741345,375.54685706266383,1592782.0416161518,0.04909754857520853,355.95416284049344,1030.4514701347862,32.24816983814489,3332.345930143493,27.677561180168368,0.12402884458061882,6.500926397741257,15090827.904355772,0.4621199393294266,0.5061645759439423,28.250955100609296,0.7047424080432895,793.688030287735,0.06881276248673224,0
22 liver,177.70884727779062,300.10693915166814,12.112962667383403,5.684672139499046,1.7689890328450757,0.5248852875954155,0.970046475404501,1.7602319791587282,0.8159911959352966,0.6214554854786305,0.5910470469279558,0.9963967688268287,0.9592155991982714,-0.09547172874465173,0.5857743283891333,0.4963265129134491,13.293978018702953,0.07639447514896208,4.470931247501178,0.7087416878994368,0.16666608782719466,26.587956037405906,3.06489518310399,1.8634152930860304,250603.4467490303,0.22116256722116845,2.3333657227052065,178.0351722583942,3.029265081112491,536.2863237511581,0.01771019091534768,0.005954710579087219,3.820694413380478,606839.0303761307,0.5331927536668216,0.6792577118666616,0.8404410286296601,0.7567753060387338,134.82215091537972,0.004543212429028395,1
22 other organ,699.742741015117,2875770.3947557807,20254.626331091917,1427.427254209479,9.604849527657475,0.9866333874189804,1.176871635011388,1.9547300047784484,8.15358231313974,0.7417670094712919,0.719437203163724,0.9990475657328113,0.9889670057323291,-0.539927562488253,0.9921375505286952,0.26022624701016983,18.58189189866214,0.1370495202087136,5.673885787802002,0.9905642958640919,0.358652277672755,37.1637837973243,4.527431634585667,359.2580259342834,490213.7900041934,0.04643796802463534,280.0612174752763,1170.7539993314547,76.29921922208976,3455.929177300885,72.38873861200946,0.05618183540489371,6.420610560004939,5590788.985873209,0.5272245417965074,0.4252337301866105,70.67763862425096,0.7531297833141184,928.2771893520227,0.020777879286840852,0
23 liver,86.57193057966816,19.665602948661416,-0.9659149547119555,1.8781845203566216,0.6124383937891602,0.5077164989281623,0.5173501752616304,1.2041754168840368,0.33958883008189067,0.7564289173725498,0.7508004258246199,0.9969085388889046,0.9659015993256552,-0.13547564181389238,0.5857475782848355,0.4409415709022579,9.2873827884212,0.1683026904862552,3.1267461513564645,0.5736471685404041,0.303205527683328,18.5747655768424,2.439548514743122,0.6226557285364455,528637.2821364376,0.31636044406253333,0.8782160231179355,86.25138044967183,7.443714163535085,643.3559138771384,0.0880478717438958,0.012145851954609564,3.9318892064507276,571006.394395518,0.33627321965641943,0.48124073198614653,2.9281661695467442,0.5849019032700875,50.07895384371432,0.007252189808800263,1
23 other organ,753.8574326313585,3569145.798697963,30054.046508784624,1529.094999401843,7.855986874339953,0.9897779593118006,1.1536790305386382,1.9395146058926604,6.459249682560874,0.7178911084695869,0.698505758046766,0.9991473491333778,0.9886289811732663,-0.5493605178024633,0.9960416464885096,0.33514618028107324,19.327372255272806,0.0436680539962953,6.47724116002718,0.9925082208870506,0.13359097573929873,38.65474451054561,5.314987822887603,384.2377465690452,1263968.247764222,0.04420978645353864,381.40571172768045,951.3760855811245,13.918806752122983,4915.398917312706,2.457585670392973,0.12592338304879355,6.846567040136283,12406168.483689327,0.4306805116441081,0.4791764781230221,9.401305380855923,0.6804976909767027,702.6694681407246,0.061057606107609345,0
